species_code,scientific_name,common_name,global_pop,us_ca_pop,north_american,prop_americas,americas,americas_pop
lessca,Aythya affinis,Lesser Scaup,3700000,3700000,TRUE,0.9999991735317468,FALSE,3700000
lesyel,Tringa flavipes,Lesser Yellowlegs,660000,660000,TRUE,0.9999998975360993,FALSE,660000
lewwoo,Melanerpes lewis,Lewis's Woodpecker,82000,82000,TRUE,1,TRUE,82000
libher,Egretta caerulea,Little Blue Heron,1100000,270000,FALSE,1,TRUE,1100000
linspa,Melospiza lincolnii,Lincoln's Sparrow,88000000,88000000,TRUE,1,TRUE,88000000
lobcur,Numenius americanus,Long-billed Curlew,140000,140000,TRUE,1,TRUE,140000
lobdow,Limnodromus scolopaceus,Long-billed Dowitcher,650000,520000,FALSE,0.999957620243011,FALSE,650000
loeowl,Asio otus,Long-eared Owl,520000,150000,FALSE,0.33732184586735237,FALSE,180000
logshr,Lanius ludovicianus,Loggerhead Shrike,7000000,4600000,FALSE,1,TRUE,7000000
lotduc,Clangula hyemalis,Long-tailed Duck,3200000,1000000,FALSE,0.5453702099065028,FALSE,1700000
louwat,Parkesia motacilla,Louisiana Waterthrush,450000,450000,TRUE,1,TRUE,450000
lucwar,Leiothlypis luciae,Lucy's Warbler,3000000,2800000,FALSE,1,TRUE,3000000
macwar,Geothlypis tolmiei,MacGillivray's Warbler,11000000,11000000,TRUE,1,TRUE,11000000
magwar,Setophaga magnolia,Magnolia Warbler,39000000,39000000,TRUE,1,TRUE,39000000
mallar3,Anas platyrhynchos,Mallard,19000000,11000000,FALSE,0.3908335294606732,FALSE,11000000
margod,Limosa fedoa,Marbled Godwit,170000,170000,TRUE,1,TRUE,170000
marwre,Cistothorus palustris,Marsh Wren,11000000,11000000,TRUE,1,TRUE,11000000
mcclon,Rhynchophanes mccownii,Thick-billed Longspur,840000,840000,TRUE,1,TRUE,840000
merlin,Falco columbarius,Merlin,3200000,1600000,FALSE,0.8216531969874158,FALSE,2600000
mewgul2,Larus brachyrhynchus,Short-billed Gull,1300000,1300000,TRUE,1,TRUE,1300000
moublu,Sialia currucoides,Mountain Bluebird,5600000,5600000,TRUE,1,TRUE,5600000
moudov,Zenaida macroura,Mourning Dove,150000000,130000000,FALSE,0.9999948214650454,FALSE,150000000
mouwar,Geothlypis philadelphia,Mourning Warbler,14000000,14000000,TRUE,1,TRUE,14000000
naswar,Leiothlypis ruficapilla,Nashville Warbler,40000000,40000000,TRUE,1,TRUE,40000000
norfli,Colaptes auratus,Northern Flicker,12000000,11000000,FALSE,1,TRUE,12000000
norgos,Accipiter atricapillus,American Goshawk,210000,210000,TRUE,1,TRUE,210000
norhar2,Circus hudsonius,Northern Harrier,820000,820000,TRUE,1,TRUE,820000
norpar,Setophaga americana,Northern Parula,18000000,18000000,TRUE,1,TRUE,18000000
norpin,Anas acuta,Northern Pintail,5100000,3200000,FALSE,0.4882783757720519,FALSE,3200000
norsho,Spatula clypeata,Northern Shoveler,5900000,4400000,FALSE,0.4991411030068185,FALSE,4400000
norshr4,Lanius borealis,Northern Shrike,180000,53000,FALSE,0.9999093602716049,FALSE,180000
norwat,Parkesia noveboracensis,Northern Waterthrush,17000000,17000000,TRUE,1,TRUE,17000000
nrwswa,Stelgidopteryx serripennis,Northern Rough-winged Swallow,27000000,20000000,FALSE,1,TRUE,27000000
nstspa,Ammospiza nelsoni,Nelson's Sparrow,1000000,1000000,TRUE,1,TRUE,1000000
nswowl,Aegolius acadicus,Northern Saw-whet Owl,2000000,2000000,TRUE,1,TRUE,2000000
olsfly,Contopus cooperi,Olive-sided Flycatcher,1900000,1900000,TRUE,1,TRUE,1900000
orcori,Icterus spurius,Orchard Oriole,12000000,11000000,FALSE,1,TRUE,12000000
orcwar,Leiothlypis celata,Orange-crowned Warbler,82000000,82000000,TRUE,1,TRUE,82000000
osprey,Pandion haliaetus,Osprey,1200000,400000,FALSE,0.7210976391121342,FALSE,870000
ovenbi1,Seiurus aurocapilla,Ovenbird,26000000,26000000,TRUE,1,TRUE,26000000
pacloo,Gavia pacifica,Pacific Loon,840000,NA,FALSE,0.9910171078087322,FALSE,830000
pacwre1,Troglodytes pacificus,Pacific Wren,7500000,7500000,TRUE,0.9999999999999999,FALSE,7500000
paibun,Passerina ciris,Painted Bunting,15000000,13000000,FALSE,1,TRUE,15000000
paired,Myioborus pictus,Painted Redstart,600000,130000,FALSE,1,TRUE,600000
palwar,Setophaga palmarum,Palm Warbler,13000000,13000000,TRUE,1,TRUE,13000000
parjae,Stercorarius parasiticus,Parasitic Jaeger,3500000,NA,FALSE,0.40406882275307887,FALSE,1400000
pecsan,Calidris melanotos,Pectoral Sandpiper,1600000,1500000,FALSE,0.9836690213621649,FALSE,1600000
perfal,Falco peregrinus,Peregrine Falcon,340000,72000,FALSE,0.34661250830854995,FALSE,120000
phivir,Vireo philadelphicus,Philadelphia Vireo,4000000,4000000,TRUE,1,TRUE,4000000
pibgre,Podilymbus podiceps,Pied-billed Grebe,3100000,1100000,FALSE,1,TRUE,3100000
pinsis,Spinus pinus,Pine Siskin,46000000,45000000,FALSE,1,TRUE,46000000
pinwar,Setophaga pinus,Pine Warbler,13000000,13000000,TRUE,1,TRUE,13000000
pipplo,Charadrius melodus,Piping Plover,8400,8400,TRUE,1,TRUE,8400
plsvir,Vireo plumbeus,Plumbeous Vireo,3500000,3000000,FALSE,1,TRUE,3500000
pomjae,Stercorarius pomarinus,Pomarine Jaeger,1100000,NA,FALSE,0.4792837464239578,FALSE,530000
prafal,Falco mexicanus,Prairie Falcon,110000,98000,FALSE,1,TRUE,110000
prawar,Setophaga discolor,Prairie Warbler,3600000,3600000,TRUE,1,TRUE,3600000
prowar,Protonotaria citrea,Prothonotary Warbler,2100000,2100000,TRUE,1,TRUE,2100000
purfin,Haemorhous purpureus,Purple Finch,6500000,6500000,TRUE,1,TRUE,6500000
purgal2,Porphyrio martinica,Purple Gallinule,390000,20000,FALSE,1,TRUE,390000
pursan,Calidris maritima,Purple Sandpiper,250000,25000,FALSE,0.2090282944345474,FALSE,52000
rebmer,Mergus serrator,Red-breasted Merganser,600000,400000,FALSE,0.5917538939130622,FALSE,400000
rebnut,Sitta canadensis,Red-breasted Nuthatch,20000000,20000000,TRUE,1,TRUE,20000000
rebsap,Sphyrapicus ruber,Red-breasted Sapsucker,2800000,2800000,TRUE,1,TRUE,2800000
redcro,Loxia curvirostra,Red Crossbill,26000000,9600000,FALSE,0.45137873665702166,FALSE,12000000
redhea,Aythya americana,Redhead,1200000,1200000,TRUE,1,TRUE,1200000
redkno,Calidris canutus,Red Knot,1000000,140000,FALSE,0.7011396165354002,FALSE,700000
reevir1,Vireo olivaceus,Red-eyed Vireo,130000000,130000000,TRUE,1,TRUE,130000000
refwar,Cardellina rubrifrons,Red-faced Warbler,350000,250000,FALSE,1,TRUE,350000
rehwoo,Melanerpes erythrocephalus,Red-headed Woodpecker,1800000,1800000,TRUE,1,TRUE,1800000
rengre,Podiceps grisegena,Red-necked Grebe,2500000,740000,FALSE,0.9321314557705696,FALSE,2300000
rensap,Sphyrapicus nuchalis,Red-naped Sapsucker,2000000,2000000,TRUE,1,TRUE,2000000
reshaw,Buteo lineatus,Red-shouldered Hawk,1900000,1800000,FALSE,1,TRUE,1900000
rethaw,Buteo jamaicensis,Red-tailed Hawk,3100000,2800000,FALSE,1,TRUE,3100000
retloo,Gavia stellata,Red-throated Loon,1400000,360000,FALSE,0.6964266648216604,FALSE,970000
rewbla,Agelaius phoeniceus,Red-winged Blackbird,180000000,170000000,FALSE,1,TRUE,180000000
ribgul,Larus delawarensis,Ring-billed Gull,3800000,3700000,FALSE,0.9999999999999999,FALSE,3800000
rinduc,Aythya collaris,Ring-necked Duck,2000000,2000000,TRUE,0.9999619095249367,FALSE,2000000
robgro,Pheucticus ludovicianus,Rose-breasted Grosbeak,4700000,4700000,TRUE,1,TRUE,4700000
rocsan,Calidris ptilocnemis,Rock Sandpiper,140000,140000,TRUE,1,TRUE,140000
rocwre,Salpinctes obsoletus,Rock Wren,4100000,3400000,FALSE,1,TRUE,4100000
rolhaw,Buteo lagopus,Rough-legged Hawk,590000,300000,FALSE,0.5850248514082991,FALSE,350000
rosgoo,Anser rossii,Ross's Goose,2100000,1600000,FALSE,1,TRUE,2100000
rosspo1,Platalea ajaja,Roseate Spoonbill,170000,11000,FALSE,1,TRUE,170000
royter1,Thalasseus maximus,Royal Tern,55000,35000,FALSE,1,TRUE,55000
